compound_name,smiles,permeability_4c,permeability_25c,viability_4c,viability_25c
sucrose,,0.26,5.46,,
"1,3-propanediol",,19.69,345.53,,
"1,3-dihydroxyacetone",,8.55,28.39,,
triethylene glycol,,6.13,151.07,,
propionamide,,45.05,448.88,,
acetamide,,10.58,174.82,,
diethylene glycol,,12.56,247.84,,
dimethyl sulfoxide,,20.62,347.86,,
ethylene glycol,,15.73,317.07,,
formamide,,57.36,622.51,,
glycerol,,2.36,56.77,,
N-methylacetamide,,10.96,142.0,,
propylene glycol,,26.43,527.68,,
triethanolamine,,9.65,,,
"2,3-butanediol",,43.82,,,
"2-methyl-1,3-propanediol",,42.92,,,
2-methoxyethanol,,,,,
"2-methyl-2,4-pentanediol",,,,,
diglyme,,,,,
tetraethylene glycol dimethyl ether,,,,,
dimethylacetamide,,,,,
triethylene glycol diacetate,,,,,
triglyme,,,,,
tetrahydrofurfuryl alcohol,,,,,
diethylene glycol monobutyl ether,,,,,
pyridine,,,,,
"N,N-dimethylethanolamine",,,,,
ethanolamine,,,,,
