ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score
PHENYLALANINE,63912,N[C@@H](Cc1ccccc1)C(=O)O,165.19199999999995,0.641,63.32000000000001,2,2,56.339603424072266,0.8119710718845639,61.101409408569246,-4.761805984496981,117.44101283264152,24.425064849853516,0.16692985361821436,42.27190872192383,-17.846843872070313,66.69697357177735,37.314291381835936,0.9548593347811899,47.490009947421136,-10.1757185655852,84.80430132925707,True,0.5669140136542965
TRYPTOPHAN,73223,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,204.22899999999998,1.1223000000000003,79.11,3,2,57.51453399658203,0.6376559162503058,61.101409408569246,-3.586875411987215,118.61594340515128,25.698546600341796,0.5148084562410278,42.27190872192383,-16.573362121582033,67.97045532226562,38.07730941772461,0.841009810519118,47.490009947421136,-9.41270052969653,85.56731936514575,True,0.5593759215038785
BENZALDEHYDE,100527,O=Cc1ccccc1,106.12399999999997,1.4990999999999999,17.07,0,1,51.990380096435544,1.3591535398171373,61.101409408569246,-9.111029312133702,113.09178950500478,22.33851852416992,0.5963880028458743,42.27190872192383,-19.93339019775391,64.61042724609375,31.763048553466795,1.1255536248111344,47.490009947421136,-15.72696139395434,79.25305850088793,True,0.5526621918176052
NIACINAMIDE,98920,NC(=O)c1cccnc1,122.12699999999997,0.18050000000000016,55.980000000000004,1,2,60.0238899230957,1.4956343897485427,61.101409408569246,-1.0775194854735446,121.12529933166495,26.515522384643553,0.7296158358513928,42.27190872192383,-15.756386337280276,68.78743110656738,34.46126251220703,0.7220951826659567,47.490009947421136,-13.028747435214107,81.95127245962817,True,0.5440639164682146
PHENYLETHYL ALCOHOL,1321273,OCCc1ccccc1,122.16699999999996,1.2214,20.23,1,1,50.398153686523436,1.4937375351932884,61.101409408569246,-10.70325572204581,111.49956309509268,20.31346321105957,0.40414100497256167,42.27190872192383,-21.95844551086426,62.5853719329834,33.31120376586914,0.5724710826900503,47.490009947421136,-14.178806181551998,80.80121371329028,True,0.5440614741497801
SACCHARIN,81072,O=C1NS(=O)(=O)c2ccccc21,183.18800000000002,0.11869999999999997,63.24,1,3,53.92839431762695,0.7869837930665174,61.101409408569246,-7.173015090942293,115.0298037261962,24.21234703063965,0.5428838190898484,42.27190872192383,-18.05956169128418,66.48425575256348,39.69181518554687,1.031207924509073,47.490009947421136,-7.798194761874264,87.18182513296802,True,0.5408373326573602
BENZENESULFONIC ACID,98113,O=S(=O)(O)c1ccccc1,158.178,0.9333000000000001,54.370000000000005,1,2,54.20281143188477,1.4207038937079652,61.101409408569246,-6.898597976684478,115.30422084045401,22.845217514038087,0.343390033340449,42.27190872192383,-19.426691207885742,65.11712623596192,36.54021301269531,0.8227807291431187,47.490009947421136,-10.949796934725825,84.03022296011645,True,0.5368859479301951
BENZYL ALCOHOL,100516,OCc1ccccc1,108.13999999999997,1.1789,20.23,1,1,45.66167984008789,1.5116395320261624,61.101409408569246,-15.439729568481354,106.76308924865714,18.783806991577148,0.6528402044150919,42.27190872192383,-23.48810173034668,61.05571571350097,34.28432998657227,0.47124309279535703,47.490009947421136,-13.205679960848869,81.7743399339934,True,0.5361383303908703
PHENOL,108952,Oc1ccccc1,94.11299999999999,1.3921999999999999,20.23,1,1,48.29930801391602,0.9129903214237326,61.101409408569246,-12.802101394653228,109.40071742248526,20.82450752258301,0.895788033596182,42.27190872192383,-21.44740119934082,63.09641624450684,34.4170280456543,0.9198973936849689,47.490009947421136,-13.072981901766838,81.90703799307543,True,0.5344519877859966
WAX,nan,Nc1cccc(C(=O)N2CCOCC2)c1,206.24499999999995,0.7411999999999999,55.56,1,3,58.09894332885742,0.573731612790773,61.101409408569246,-3.002466079711823,119.20035273742667,24.544484329223632,0.5085256513376731,42.27190872192383,-17.727424392700197,66.81639305114746,37.856144714355466,1.1257707567979458,47.490009947421136,-9.63386523306567,85.34615466177661,True,0.5243304383750869
HISTIDINE,71001,N[C@@H](Cc1cnc[nH]1)C(=O)O,155.15699999999998,-0.6359000000000001,92.0,3,3,56.33181228637695,0.7444421695641935,61.101409408569246,-4.769597122192295,117.4332216949462,26.06010208129883,0.4117253846033854,42.27190872192383,-16.211806640625,68.33201080322266,48.15137786865235,0.8527058431942505,47.490009947421136,0.6613679212312107,95.64138781607349,True,0.5163656565991196
UREA,57136,NC(N)=O,60.056,-0.9762000000000002,69.11,2,1,54.124909210205075,1.2662098775404034,61.101409408569246,-6.976500198364171,115.22631861877431,29.533116149902344,0.4317573289410324,42.27190872192383,-12.738792572021485,71.80502487182618,59.414207458496094,1.1436604208929122,47.490009947421136,11.924197511074958,106.90421740591722,True,0.512231758803938
GENTISIC ACID,490799,O=C(O)c1cc(O)ccc1O,154.12099999999998,0.7959999999999998,77.76,3,3,48.902425384521486,0.4352855681435315,61.101409408569246,-12.19898402404776,110.00383479309073,21.91873245239258,0.6154936156885147,42.27190872192383,-20.35317626953125,64.19064117431641,46.564518737792966,1.2915691075862399,47.490009947421136,-0.92549120962817,94.05452868521411,True,0.4910386803615911
DEHYDROACETIC ACID,771039,CC(=O)c1c(O)cc(C)oc1=O,168.14799999999997,0.85642,67.50999999999999,1,4,57.92969436645508,1.328684965676539,61.101409408569246,-3.1717150421141653,119.03110377502432,25.98883399963379,0.7581338327649548,42.27190872192383,-16.28307472229004,68.26074272155762,42.478494262695314,1.1230521660286201,47.490009947421136,-5.011515684725822,89.96850421011645,True,0.4895839179606042
ALCOHOL,8024451,CCO,46.069,-0.0014000000000000123,20.23,1,1,53.40770416259765,3.1268626746461488,61.101409408569246,-7.693705245971593,114.50911357116689,26.545072174072267,0.7114843275297535,42.27190872192383,-15.726836547851562,68.8169808959961,49.78523406982422,1.1686737562896206,47.490009947421136,2.2952241224030843,97.27524401724536,True,0.45601157634471123
PROPYL ALCOHOL,71238,CCCO,60.096,0.3887,20.23,1,1,51.10983047485352,3.28850295547399,61.101409408569246,-9.99157893371573,112.21123988342276,26.456421661376954,0.5810163217370953,42.27190872192383,-15.815487060546875,68.72833038330079,55.92809371948242,0.8915192305808485,47.490009947421136,8.438083772061283,103.41810366690356,True,0.45012005894952045
