novel_rank,ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score
1,NIACINAMIDE,98920.0,NC(=O)c1cccnc1,122.12699999999997,0.1805000000000001,55.98,1,2,60.0238899230957,1.495634389748543,61.101409408569246,-1.0775194854735446,121.12529933166496,26.515522384643557,0.7296158358513928,42.27190872192383,-15.756386337280276,68.78743110656738,34.46126251220703,0.7220951826659567,47.490009947421136,-13.028747435214107,81.95127245962817,True,0.5618611479598832
2,SACCHARIN,81072.0,O=C1NS(=O)(=O)c2ccccc21,183.188,0.1186999999999999,63.24,1,3,53.92839431762695,0.7869837930665174,61.101409408569246,-7.173015090942293,115.0298037261962,24.21234703063965,0.5428838190898484,42.27190872192383,-18.05956169128418,66.48425575256348,39.69181518554687,1.031207924509073,47.490009947421136,-7.798194761874264,87.18182513296802,True,0.5566886349349074
3,WAX,,Nc1cccc(C(=O)N2CCOCC2)c1,206.24499999999995,0.7411999999999999,55.56,1,3,58.09441986083984,0.5708049368085021,61.101409408569246,-3.006989547729404,119.19582926940907,24.544484329223632,0.5085256513376731,42.27190872192383,-17.727424392700197,66.81639305114746,37.856144714355466,1.1257707567979458,47.490009947421136,-9.63386523306567,85.34615466177661,True,0.5409767711035641
4,UREA,57136.0,NC(N)=O,60.056,-0.9762000000000002,69.11,2,1,54.12490921020508,1.2662098775404034,61.101409408569246,-6.976500198364171,115.22631861877431,29.533116149902344,0.4317573289410324,42.27190872192383,-12.738792572021485,71.80502487182618,59.414207458496094,1.1436604208929122,47.490009947421136,11.924197511074958,106.90421740591722,True,0.5207457142095364
5,ASPARTAME,22839470.0,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,294.307,-0.3110999999999995,118.72,3,5,60.35761413574219,1.0043411845907169,61.101409408569246,-0.7437952728270574,121.45902354431144,24.56963768005371,0.3853900183668917,42.27190872192383,-17.70227104187012,66.84154640197754,37.99990234375,1.0481449032944297,47.490009947421136,-9.490107603671134,85.48991229117114,False,0.519996305232746
6,PHENOXYETHANOL,122996.0,OCCOc1ccccc1,138.16599999999997,1.0577,29.46,1,2,50.611254119873045,1.135539822587081,61.101409408569246,-10.4901552886962,111.71266352844228,18.144132995605467,0.3497284511854915,42.27190872192383,-24.12777572631836,60.416041717529296,35.94306869506836,0.5205597251005993,47.490009947421136,-11.546941252352774,83.4330786424895,True,0.5110155183570306
7,DEHYDROACETIC ACID,771039.0,CC(=O)c1c(O)cc(C)oc1=O,168.14799999999997,0.85642,67.50999999999999,1,4,57.92969436645508,1.328684965676539,61.101409408569246,-3.1717150421141653,119.03110377502432,25.98883399963379,0.7581338327649548,42.27190872192383,-16.28307472229004,68.26074272155762,42.478494262695314,1.12305216602862,47.490009947421136,-5.011515684725822,89.96850421011645,True,0.5043984884498943
8,GENTISIC ACID,490799.0,O=C(O)c1cc(O)ccc1O,154.12099999999998,0.7959999999999998,77.76,3,3,48.902425384521486,0.4352855681435315,61.101409408569246,-12.19898402404776,110.00383479309072,21.91873245239258,0.6154936156885147,42.27190872192383,-20.35317626953125,64.19064117431641,46.564518737792966,1.29156910758624,47.490009947421136,-0.92549120962817,94.05452868521412,True,0.504333121929088
9,BENZOCAINE,94097.0,CCOC(=O)c1ccc(N)cc1,165.19199999999998,1.4455,52.32,1,3,63.36113510131836,0.992277168060958,61.101409408569246,2.2597256927491145,124.4625445098876,25.74547920227051,0.7525335731576936,42.27190872192383,-16.52642951965332,68.01738792419434,36.31904907226563,1.0775977116501787,47.490009947421136,-11.170960875155508,83.80905901968677,False,0.4999156252803753
10,O-TOLYL BIGUANIDE,93696.0,Cc1ccccc1N=C(N)N=C(N)N,191.238,0.2146200000000002,102.78,3,1,61.74478149414063,1.2236238908913395,61.101409408569246,0.6433720855713787,122.84619090270988,25.560356521606444,0.4593836805964059,42.27190872192383,-16.711552200317385,67.83226524353027,40.454833984375,1.2716510739537177,47.490009947421136,-7.035175963046136,87.94484393179613,False,0.4925148467943163
