model,task,scheme,split,n,mae,rmse,r2,spearman,aux_weight
chemberta_r8_seed0,toxicity,5-fold-CV,oof,50,38.63391296386719,41.72294046095282,-0.015001181701969513,0.1475298086174218,0.0
chemberta_r8_seed0,permeability,5-fold-CV,oof,16,13.758011131286622,17.461200629744578,-0.07848964198423092,0.03529411764705882,0.0
chemberta_r8_seed0,iri,5-fold-CV,oof,303,21.38595366902871,25.96341658846797,0.16862436368560885,0.4173335937452707,0.0
chemberta_r8_seed0,toxicity,5-fold-CV,oof,50,39.0986576461792,42.558773012808054,-0.05607540586299464,0.11018967550233746,0.05
chemberta_r8_seed0,permeability,5-fold-CV,oof,16,13.825624971389772,17.395487501983865,-0.0703873846392129,0.014705882352941175,0.05
chemberta_r8_seed0,iri,5-fold-CV,oof,303,21.46629390653604,26.14169904642885,0.1571675833364502,0.404477862239482,0.05
chemberta_r8_seed0,toxicity,5-fold-CV,oof,50,39.120202980041505,42.58163919889431,-0.057210537462495825,0.10497534264374471,0.1
chemberta_r8_seed0,permeability,5-fold-CV,oof,16,13.835498063564302,17.408053622238164,-0.07193439213852648,0.014705882352941175,0.1
chemberta_r8_seed0,iri,5-fold-CV,oof,303,21.465526573256692,26.144506517754,0.1569865427011602,0.40464400635487224,0.1
chemberta_r8_seed0,toxicity,5-fold-CV,oof,50,39.13728126525879,42.601764378027546,-0.05821010346189781,0.11004474220645964,0.2
chemberta_r8_seed0,permeability,5-fold-CV,oof,16,13.881234793663026,17.439654926982005,-0.0758297468740452,0.02647058823529412,0.2
chemberta_r8_seed0,iri,5-fold-CV,oof,303,21.460306795831563,26.14509937722996,0.15694830949275385,0.4053584225627183,0.2
chemberta_r8_seed0,toxicity,5-fold-CV,oof,50,38.78600105285645,41.86351659046267,-0.0218523436051119,0.15219948928760366,0.5
chemberta_r8_seed0,permeability,5-fold-CV,oof,16,14.310470669269561,17.73711323369792,-0.11284236542348003,-0.11176470588235293,0.5
chemberta_r8_seed0,iri,5-fold-CV,oof,303,21.835966049798646,26.397560955529503,0.140588397584419,0.38785838084965135,0.5
chemberta_r8_seed0,toxicity,5-fold-CV,oof,50,38.84262954711914,41.97643057062439,-0.02737204322098097,0.1468902996104106,1.0
chemberta_r8_seed0,permeability,5-fold-CV,oof,16,14.528883068561555,17.929520741627382,-0.1371169559669303,-0.24705882352941175,1.0
chemberta_r8_seed0,iri,5-fold-CV,oof,303,21.95364886494753,26.62613849977124,0.12564060037382396,0.3730408213189482,1.0
